id;nickname;male;female;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC
MYUB;0;0;1;3;1;2;0;25;0;0;0;0;0;0;1;0;0;0;0;0.5;0.5;0.6666666666666666;0.0
OMOQ;0;0;1;3;0;2;0;26;0;1;0;0;0;0;1;0;0;0;0;0.25;0.0;0.5;0.0
WYPN;0;1;0;1;0;2;0;30;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0
NLE8;0;1;0;2;1;3;0;36;1;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0
T9RY;0;1;0;3;1;2;0;25;1;1;0;0;0;0;1;0;0;1;0;0.5;0.0;0.6666666666666666;0.0
ONJB;0;1;0;1;0;3;0;29;1;1;0;0;0;0;1;0;0;1;0;0.5;0.0;0.6666666666666666;0.0
BIKL;1;1;0;2;1;2;0;37;0;1;0;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0
ZDHX;0;1;0;0;0;2;0;33;1;1;1;0;0;0;1;0;1;0;0;1.0;0.0;1.0;1.0
R1JV;0;1;0;1;1;3;0;29;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
SERA;1;1;0;1;0;2;0;37;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
S8EP;1;1;0;2;2;2;0;55;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
U8OP;0;1;0;2;1;2;0;28;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0
DJYW;0;1;0;1;0;2;0;25;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
PAJA;1;1;0;3;0;1;0;24;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
IGRX;0;1;0;1;1;2;0;25;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
XEVB;1;1;0;1;0;3;0;49;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
ZFPE;0;1;0;1;2;3;0;55;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
T3AW;1;1;0;3;1;2;0;52;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0
S0SF;1;1;0;1;1;3;0;28;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0
QEE4;1;1;0;3;1;2;0;24;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
O2D2;0;1;0;3;1;2;0;24;1;0;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
ZCQ2;0;1;0;3;1;3;0;26;1;1;0;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0
ETPM;0;1;0;1;2;4;0;39;0;1;1;0;0;0;0;0;0;0;0;0.25;0.0;0.5714285714285714;0.0
QHTF;0;1;0;1;2;3;0;56;0;1;1;0;0;0;0;0;0;0;0;0.25;0.0;0.5714285714285714;0.0
GSLP;0;1;0;1;1;3;0;33;0;1;1;0;0;0;0;0;0;0;0;1.0;1.0;1.0;0.0
